BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,
p-n-junction-no-charge-balance.nlogo,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,
01/16/2020 11:38:18:970 -0600,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,
-19,20,-9,10,,,,,,,,,,,
[run number],n-doping%,temperature,p-doping%,external-voltage,current-delay,band-gap,[step],ticks - current-delay,time-sum-built-in-potential,charge-flow,external-voltage,time-sum-built-in-potential / (ticks / time-step),external-voltage,current
1,1,2,1,-1,50,25,2000,350,13253.46679,-15,-1,6.626733397,-1,-0.042857143
2,1,2,1,-0.75,50,25,2000,350,12074.30404,-6,-0.75,6.03715202,-0.75,-0.017142857
3,1,2,1,-0.5,50,25,2000,350,10835.95625,-5,-0.5,5.417978124,-0.5,-0.014285714
4,1,2,1,-0.25,50,25,2000,350,9412.172913,22,-0.25,4.706086456,-0.25,0.062857143
5,1,2,1,0,50,25,2000,350,8010.377866,-7,0,4.005188933,0,-0.02
6,1,2,1,0.25,50,25,2000,350,6809.683764,145,0.25,3.404841882,0.25,0.414285714
7,1,2,1,0.5,50,25,2000,350,5427.269426,368,0.5,2.713634713,0.5,1.051428571
8,1,2,1,0.75,50,25,2000,350,4659.021109,993,0.75,2.329510555,0.75,2.837142857
9,1,2,1,1,50,25,2000,350,4256.164855,1755,1,2.128082427,1,5.014285714
10,1,2,1,1.25,50,25,2000,350,4090.618627,2747,1.25,2.045309313,1.25,7.848571429
11,1,2,1,1.5,50,25,2000,350,4190.365526,3719,1.5,2.095182763,1.5,10.62571429
12,1,2,1,1.75,50,25,2000,350,4137.910206,4732,1.75,2.068955103,1.75,13.52
13,1,2,1,2,50,25,2000,350,4229.787802,5456,2,2.114893901,2,15.58857143
14,1,2,1,2.25,50,25,2000,350,4292.300537,6538,2.25,2.146150269,2.25,18.68
15,1,2,1,2.5,50,25,2000,350,4464.111271,7339,2.5,2.232055635,2.5,20.96857143
16,1,2,1,2.75,50,25,2000,350,4631.468542,8372,2.75,2.315734271,2.75,23.92
17,1,2,1,3,50,25,2000,350,4650.403179,8987,3,2.325201589,3,25.67714286
18,1,2,1,3.25,50,25,2000,350,4664.620465,9817,3.25,2.332310233,3.25,28.04857143
19,1,2,1,3.5,50,25,2000,350,4739.045783,10627,3.5,2.369522892,3.5,30.36285714
20,1,2,1,3.75,50,25,2000,350,4919.870226,11513,3.75,2.459935113,3.75,32.89428571
21,1,2,1,4,50,25,2000,350,5185.089989,12079,4,2.592544995,4,34.51142857