BehaviorSpace results (NetLogo 6.1.1),,,,,,,,
current-in-a-semiconductor-external-voltage.nlogo,,,,,,,,
test V-I,,,,,,,,
12/18/2019 11:02:36:797 -0600,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-16,16,-16,16,,,,,
[run number],recombine-prob,band-gap,doping,temperature,scatter-prob,[step],voltage,avg-current
2,0.1,10,0,2,0.1,3000,-1,4.765078307
1,0.1,10,0,2,0.1,3000,-1,4.857380873
3,0.1,10,0,2,0.1,3000,-0.9,4.323558814
4,0.1,10,0,2,0.1,3000,-0.9,4.322892369
5,0.1,10,0,2,0.1,3000,-0.8,3.865044985
6,0.1,10,0,2,0.1,3000,-0.8,3.859380207
7,0.1,10,0,2,0.1,3000,-0.7,3.399533489
8,0.1,10,0,2,0.1,3000,-0.7,3.405198267
9,0.1,10,0,2,0.1,3000,-0.6,2.943352216
10,0.1,10,0,2,0.1,3000,-0.6,2.945684772
11,0.1,10,0,2,0.1,3000,-0.5,2.453848717
12,0.1,10,0,2,0.1,3000,-0.5,2.453515495
13,0.1,10,0,2,0.1,3000,-0.4,2.054981673
14,0.1,10,0,2,0.1,3000,-0.4,2.016994335
15,0.1,10,0,2,0.1,3000,-0.3,1.57080973
16,0.1,10,0,2,0.1,3000,-0.3,1.529823392
17,0.1,10,0,2,0.1,3000,-0.2,1.072642453
18,0.1,10,0,2,0.1,3000,-0.2,1.074641786
19,0.1,10,0,2,0.1,3000,-0.1,0.579140287
20,0.1,10,0,2,0.1,3000,-0.1,0.571809397
21,0.1,10,0,2,0.1,3000,0,0.004331889
22,0.1,10,0,2,0.1,3000,0,-6.66E-04
23,0.1,10,0,2,0.1,3000,0.1,-0.544485172
24,0.1,10,0,2,0.1,3000,0.1,-0.577474175
25,0.1,10,0,2,0.1,3000,0.2,-1.057647451
26,0.1,10,0,2,0.1,3000,0.2,-1.057980673
27,0.1,10,0,2,0.1,3000,0.3,-1.496501166
28,0.1,10,0,2,0.1,3000,0.3,-1.472509164
29,0.1,10,0,2,0.1,3000,0.4,-1.841719427
30,0.1,10,0,2,0.1,3000,0.4,-1.863712096
31,0.1,10,0,2,0.1,3000,0.5,-2.226924359
32,0.1,10,0,2,0.1,3000,0.5,-2.22125958
33,0.1,10,0,2,0.1,3000,0.6,-2.582805731
34,0.1,10,0,2,0.1,3000,0.6,-2.582139287
35,0.1,10,0,2,0.1,3000,0.7,-2.84071976
36,0.1,10,0,2,0.1,3000,0.7,-2.870043319
37,0.1,10,0,2,0.1,3000,0.8,-3.133955348
38,0.1,10,0,2,0.1,3000,0.8,-3.167610796
39,0.1,10,0,2,0.1,3000,0.9,-3.471509497
41,0.1,10,0,2,0.1,3000,1,-3.730423192
40,0.1,10,0,2,0.1,3000,0.9,-3.470843052
42,0.1,10,0,2,0.1,3000,1,-3.735421526